NAME	OFFICE	DOCID
Gooden, Hon.. Lance	TX05	10072145
Gosar, Hon.. Paul A.	AZ09	8221135
Gottheimer, Hon.. Josh	NJ05	10066210
Graves, Hon.. Sam B.	MO06	10068661
Green, Hon.. Al	TX09	10068051
Greene, Hon.. Marjorie Taylor	GA14	10066497
Griffith, Hon.. H. Morgan	VA09	10068911
Grothman, Hon.. Glenn S.	WI06	10067801
Guest, Hon.. Michael Patrick	MS03	9115581
Guthrie, Hon.. Brett	KY02	8221136
Hageman, Hon.. Harriet	WY00	10066903
Harder, Hon.. Josh	CA09	10066696
Harris, Hon.. Andy	MD01	10072027
Harshbarger, Hon.. Diana	TN01	9115594
Hayes, Hon.. Jahana	CT05	10067897
Hern, Hon.. Kevin	OK01	10067143
Higgins, Hon.. Clay Captain	LA03	10066898
Hill, Hon.. James French	AR02	10067037
Himes, Hon.. James A.	CT04	10067525
Horsford, Hon.. Steven A.	NV04	10068146
Houchin, Hon.. Erin	IN09	10066619
Houlahan, Hon.. Chrissy	PA06	10068914
Hoyer, Hon.. Steny H.	MD05	10066888
Hoyle, Hon.. Valerie	OR04	10072205
Hudson, Hon.. Richard	NC09	10070452
Huffman, Hon.. Jared	CA02	10068632
Huizenga, Hon.. Bill	MI04	10071649
Hunt, Hon.. Wesley	TX38	10068518
Issa, Hon.. Darrell E.	CA48	10066267
Ivey, Hon.. Glenn	MD04	10071843
Jackson, Hon.. Jonathan	IL01	10067052
Jackson, Hon.. Ronny Lynn	TX13	10067504
Jacobs, Hon.. Sara	CA51	10066924
James, Hon.. John	MI10	10066154
Jayapal, Hon.. Pramila	WA07	10067187
Jeffries, Hon.. Hakeem S.	NY08	10066511
Johnson, Hon.. Dusty	SD00	10067152
"Johnson, Hon.. Henry C. ""Hank"""	GA04	10068113
Johnson, Hon.. James Michael	LA04	10071620
Jordan, Hon.. James D	OH04	10067361
Joyce, Hon.. David P.	OH14	10068786
Joyce, Hon.. John	PA13	10066594
Kamlager-Dove, Hon.. Sydney	CA37	10067024
Kaptur, Hon.. Marcy	OH09	10067506
Kean, Hon.. Thomas H.	NJ07	10066042
Keating, Hon.. William R.	MA09	10066140
Kelly, Hon.. John Trent	MS01	10067088
Kelly, Hon.. Mike	PA16	10066111
Kelly, Hon.. Robin	IL02	10068385
Kennedy, Hon.. Timothy	NY26	10068878
Khanna, Hon.. Rohit	CA17	9115596
Kiggans, Hon.. Jennifer	VA02	10067550
Kiley, Hon.. Kevin	CA03	10068665
Kim, Hon.. Young	CA40	10067055
Krishnamoorthi, Hon.. S. Raja	IL08	10066035
Kustoff, Hon.. David	TN08	10066003
LaHood, Hon.. Darin McKay	IL16	10068136
LaMalfa, Hon.. Doug	CA01	10067870
Lalota, Hon.. Nicholas Joseph	NY01	10069103
Landsman, Hon.. Greg	OH01	10066018
Langworthy, Hon.. Nick	NY23	10068912
Larsen, Hon.. Rick	WA02	10066875
Larson, Hon.. John B.	CT01	10067089
Latta, Hon.. Robert E.	OH05	10066043
Lawler, Hon.. Michael Vincent	NY17	10068441
Lee, Hon.. Laurel	FL15	10070530
Lee, Hon.. Summer	PA12	10070498
Lee, Hon.. Susie	NV03	10066152
Leger Fernandez, Hon.. Teresa	NM03	10066929
Letlow, Hon.. Julia	LA05	10068504
Levin, Hon.. Mike	CA49	10066874
Lieu, Hon.. Ted	CA36	10068523
Lofgren, Hon.. Zoe	CA18	10066636
Loudermilk, Hon.. Barry	GA11	10068474
Lucas, Hon.. Frank D.	OK03	10067226
Luttrell, Hon.. Morgan Joe	TX08	10066251
Lynch, Hon.. Stephen F.	MA08	10066502
Mace, Hon.. Nancy	SC01	10068976
Magaziner, Hon.. Seth	RI02	10066344
Malliotakis, Hon.. Nicole	NY11	10068082
Maloy, Hon.. Celeste	UT02	10069198
Mann, Hon.. Tracey Robert	KS01	10066079
Massie, Hon.. Thomas	KY04	10067557
Mast, Hon.. Brian	FL21	10068357
Matsui, Hon.. Doris O.	CA07	8221137
McBath, Hon.. Lucia Kay Ms	GA07	10067071
McCaul, Hon.. Michael T.	TX10	9115586
McClain, Hon.. Lisa	MI09	10068828
McClellan, Hon.. Jennifer	VA04	10067739
McClintock, Hon.. Tom	CA05	10066549
McCollum, Hon.. Betty L.	MN04	10066584
McCormick, Hon.. Richard Dean Dr	GA06	10067148
McGarvey, Hon.. Morgan	KY03	10066788
McGovern, Hon.. James P.	MA02	10068384
McIver, Hon.. Lamonica	NJ10	10067336
Meeks, Hon.. Gregory W.	NY05	10068784
Menendez, Hon.. Robert J.	NJ08	10070454
Meng, Hon.. Grace	NY06	10067279
Meuser, Hon.. Daniel	PA09	10067161
Mfume, Hon.. Kweisi	MD07	10069174
Miller, Hon.. Carol Devine	WV01	10069124
Miller, Hon.. Mary	IL15	10067030
Miller, Hon.. Max	OH07	10066804
Miller-Meeks, Hon.. Mariannette Jane	IA01	10067915
Mills, Hon.. Cory	FL07	10068479
Moolenaar, Hon.. John Mr	MI02	10067758
Moore, Hon.. Blake	UT01	10066531
Moore, Hon.. Felix Barry	AL01	10067082
Moore, Hon.. Gwen	WI04	8221127
