NAME	FILER	DATE	URL
Ron Johnson	Johnson, Ron (Senator)	05/14/2025	https://efdsearch.senate.gov/search/view/annual/be1cbc9f-7e98-4e7d-9f90-a060498d5449/
James Conley Justice, II	Justice II,  James Conley (Senator)	07/18/2025	https://efdsearch.senate.gov/search/view/annual/d1dbc013-fc0a-4ab4-b3fc-b6bfd4ce7a40/
Timothy M Kaine	Kaine, Tim (Senator)	05/15/2025	https://efdsearch.senate.gov/search/view/annual/0acdf6ca-e13d-4e0c-9028-93c43ec97131/
Mark E Kelly	Kelly, Mark (Senator)	08/13/2025	https://efdsearch.senate.gov/search/view/annual/1f1b3071-0ebe-45da-bf6e-ec48ffdea81f/
John N Kennedy	Kennedy, John (Senator)	08/13/2025	https://efdsearch.senate.gov/search/view/annual/28a081b6-68fd-4bae-a44b-0a5462dd04a0/
Andy Kim	Kim, Andy (Senator)	08/11/2025	https://efdsearch.senate.gov/search/view/annual/2ea9c6e1-ec2d-4f6c-96ca-e9d9f4b906f9/
Angus S King, Jr.	King, Angus (Senator)	05/12/2025	https://efdsearch.senate.gov/search/view/annual/31f21bd8-5300-441c-b6e5-a2fe0661cc57/
Amy J Klobuchar	Klobuchar, Amy (Senator)	05/15/2025	https://efdsearch.senate.gov/search/view/annual/e6e8b03d-3357-4864-ad96-1b321114cb9c/
James P Lankford	Lankford, James (Senator)	05/15/2025	https://efdsearch.senate.gov/search/view/annual/46c769a4-050d-4298-b95a-41284ad787e5/
Michael S Lee	Lee, Mike (Senator)	08/12/2025	https://efdsearch.senate.gov/search/view/annual/0c2c5afa-cd3c-4b09-bd67-f2bd5410ce25/
Cynthia M Lummis	Lummis, Cynthia (Senator)	08/08/2025	https://efdsearch.senate.gov/search/view/annual/b99b0faa-5189-4914-9258-3000419446f2/
Roger W Marshall	Marshall, Roger (Senator)	08/11/2025	https://efdsearch.senate.gov/search/view/annual/545ec43a-eb9a-4f8c-973a-4e580d38b274/
A. Mitchell McConnell, Jr.	McConnell, A. Mitchell Jr. (Senator)	08/11/2025	https://efdsearch.senate.gov/search/view/annual/fcd0cf80-47bd-4148-aa42-81d97935f89a/
David H McCormick	McCormick, David H. (Senator)	08/13/2025	https://efdsearch.senate.gov/search/view/annual/f0dda451-74f3-4b34-b6a9-71a8c593fbae/
Jeffrey A Merkley	Merkley, Jeff (Senator)	05/06/2025	https://efdsearch.senate.gov/search/view/annual/f7a47b83-d0d1-4057-a001-c705cff6319f/
Jerry Moran,	Moran, Jerry (Senator)	05/15/2025	https://efdsearch.senate.gov/search/view/annual/7beda471-6954-4a89-a1d8-9919afb1a571/
Bernie Moreno	Moreno, Bernardo (Senator)	08/13/2025	https://efdsearch.senate.gov/search/view/annual/7654c291-4eb6-4e71-8622-4974ee3c132e/
Markwayne Mullin	Mullin, Markwayne (Senator)	08/13/2025	https://efdsearch.senate.gov/search/view/annual/1536b22a-9260-4cc9-9d88-736a81dfd3e7/
Lisa A Murkowski	Murkowski, Lisa (Senator)	05/15/2025	https://efdsearch.senate.gov/search/view/annual/9f529316-1356-46f4-9616-d6b97b22842d/
Christopher Murphy	Murphy, Chris (Senator)	08/11/2025	https://efdsearch.senate.gov/search/view/annual/bd72c4bb-3ebc-41c1-9d03-7fc2818f4342/
Patty Murray	Murray, Patty (Senator)	04/23/2025	https://efdsearch.senate.gov/search/view/annual/eb3d7622-7ab4-4a01-af38-a2bac2c3930f/
Thomas J Ossoff	Ossoff, Jon (Senator)	05/15/2025	https://efdsearch.senate.gov/search/view/annual/8e39e175-4a0b-4170-8981-294ba4e943d3/
Alex Padilla	Padilla, Alex (Senator)	08/08/2025	https://efdsearch.senate.gov/search/view/annual/b48ae9be-e759-4af8-9f5a-a87abaae91a3/
Rand Paul	Paul, Rand (Senator)	08/13/2025	https://efdsearch.senate.gov/search/view/annual/41174a3d-8d1e-458f-9f6b-f7d6ee174095/
Gary C Peters	Peters, Gary (Senator)	05/15/2025	https://efdsearch.senate.gov/search/view/annual/a2657875-8c06-48fd-914e-e32930731d32/
John F Reed	Reed, John F. (Senator)	05/15/2025	https://efdsearch.senate.gov/search/view/annual/8462e488-37da-44f6-84d2-410a3388114d/
John P Ricketts	Ricketts, Pete (Senator)	05/15/2025	https://efdsearch.senate.gov/search/view/annual/355ca0f6-a3d6-4d82-bb2f-d35283c4404d/
James E Risch	Risch, James E. (Senator)	08/13/2025	https://efdsearch.senate.gov/search/view/annual/df7d01d2-e052-48dc-8e73-d2127bb0b2be/
Jacklyn S Rosen	Rosen, Jacky (Senator)	08/08/2025	https://efdsearch.senate.gov/search/view/annual/2577a5e3-3487-4855-9bb0-2ba64f7c98f7/
M. Michael Rounds	Rounds, Mike (Senator)	05/13/2025	https://efdsearch.senate.gov/search/view/annual/11af92d3-b8b3-41c5-913b-1c04f6df8b17/
Bernard Sanders	Sanders, Bernard (Senator)	05/15/2025	https://efdsearch.senate.gov/search/view/annual/73212fa2-e326-4793-8020-1d126e59054c/
Brian E Schatz	Schatz, Brian (Senator)	08/13/2025	https://efdsearch.senate.gov/search/view/annual/3940df10-b601-40ba-ad98-539ed8d1ea69/
Adam B Schiff	Schiff,  Adam B. (Senator)	08/11/2025	https://efdsearch.senate.gov/search/view/annual/c5cbd8d8-c494-4c7c-b487-15adebdfe3c9/
Eric Schmitt	Schmitt, Eric (Senator)	08/13/2025	https://efdsearch.senate.gov/search/view/annual/d743fca3-015d-4358-8d6b-8db091141e1a/
Charles E Schumer	Schumer, Charles E. (Senator)	05/15/2025	https://efdsearch.senate.gov/search/view/annual/bba80a2f-2cff-4c01-a60e-416b8b44c8cd/
Rick Scott	Scott, Rick (Senator)	08/13/2025	https://efdsearch.senate.gov/search/view/annual/394a3895-fad5-4242-92f2-3f01ad964358/
Tim Scott	Scott, Tim (Senator)	05/15/2025	https://efdsearch.senate.gov/search/view/annual/31313d73-5cb1-4799-9622-ebbf621712a8/
Jeanne Shaheen	Shaheen, Jeanne (Senator)	08/11/2025	https://efdsearch.senate.gov/search/view/annual/e8c30bfd-f0cc-4681-be74-cac5f5e8577f/
Timothy P Sheehy	Sheehy, Tim (Senator)	08/12/2025	https://efdsearch.senate.gov/search/view/annual/de0b1ffb-c579-4721-871f-7a69c8c55d39/
Elissa Slotkin	Slotkin, Elissa (Senator)	08/07/2025	https://efdsearch.senate.gov/search/view/annual/b77c404e-584c-45be-9a9d-5df5b7e4141a/
Tina Smith	Smith, Tina (Senator)	05/09/2025	https://efdsearch.senate.gov/search/view/annual/2ebdc6b4-99ab-4386-a182-854495c34248/
Daniel S Sullivan	Sullivan, Dan (Senator)	08/13/2025	https://efdsearch.senate.gov/search/view/annual/fc795f79-3e7d-4043-94b3-3ae8eff54463/
John R Thune	Thune, John (Senator)	05/08/2025	https://efdsearch.senate.gov/search/view/annual/da632936-283a-44b9-a261-535973791a12/
Thomas R Tillis	Tillis, Thom (Senator)	08/12/2025	https://efdsearch.senate.gov/search/view/annual/694ca41e-d422-4487-9d24-15ebab43930e/
Thomas H Tuberville	Tuberville, Tommy (Senator)	08/08/2025	https://efdsearch.senate.gov/search/view/annual/ec0d2d29-4336-42b7-88af-2f07710b3196/
Mark R Warner	Warner, Mark (Senator)	08/13/2025	https://efdsearch.senate.gov/search/view/annual/22abcaef-4e27-4274-9670-c432478d4652/
Raphael Warnock	Warnock, Raphael (Senator)	05/14/2025	https://efdsearch.senate.gov/search/view/annual/978c4901-4987-442b-8c3f-e40e28fc05ac/
Elizabeth Warren	Warren, Elizabeth (Senator)	04/18/2025	https://efdsearch.senate.gov/search/view/annual/fd6288d2-f24d-4a46-ae29-96de9f53978e/
Peter Welch	Welch, Peter (Senator)	05/15/2025	https://efdsearch.senate.gov/search/view/annual/674866ed-cc5a-4165-8c6f-3fa5a519b201/
Sheldon Whitehouse	Whitehouse, Sheldon (Senator)	08/12/2025	https://efdsearch.senate.gov/search/view/annual/fc85ab38-07e9-452d-8416-91636fd3f7ee/
Roger F Wicker	Wicker, Roger (Senator)	05/12/2025	https://efdsearch.senate.gov/search/view/annual/a919c45f-7d96-4621-873d-76b52cec60ba/
Ron L Wyden	Wyden, Ron (Senator)	08/12/2025	https://efdsearch.senate.gov/search/view/annual/e521a678-d546-42d3-9817-9f238d49ea6d/
Todd Young	Young, Todd (Senator)	05/14/2025	https://efdsearch.senate.gov/search/view/annual/fb5f7acf-ca54-4557-87cf-33d7bacb6bfa/
